-------------  TOF DELETIONS  -------------
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 4 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 5 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 3 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 5 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 5 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 2 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 5 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 3 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 6 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 7 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 8 READS          |          1 WRITE 
--- 2 READS          |          1 WRITE 
