-------------  TOF INSERTIONS  -------------
--- 0 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          1 WRITES 
--- 1 READS          |          2 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          2 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
